well_id,vid
602,49
626,7217
634,3988
618,367
565,1960
564,1364
572,1365
485,3288
493,9897
501,9897
593,7639
491,7639
570,9073
562,4700
483,6604
532,811
548,151
524,6070
539,6684
578,7509
586,8865
573,6745
556,7924
579,9381
450,6687
458,4899
434,6633
442,6712
426,5014
465,6431
451,9949
459,3282
443,8524
410,1107
469,4484
477,6505
390,6512
506,5106
498,1763
482,4204
569,5576
437,9687
389,8140
405,7228
397,3390
421,374
401,9732
385,6655
460,3586
449,8208
429,9701
529,5673
561,5579
497,10098
306,2514
393,652
467,8524
466,4898
514,3898
378,8945
361,9732
305,6884
347,9162
323,261
370,7580
322,7133
345,4632
371,1879
363,5953
355,2186
1161,367
1235,1484
1065,8498
1219,1078
4581,4886
4573,7006
4589,3704
4597,2731
4541,3286
4572,8628
4556,7428
4562,173
4546,7256
4586,173
4538,7611
4530,2194
4577,4848
4593,1136
4522,4846
4683,4780
4681,8946
4658,2198
4651,1132
4665,9053
4594,4135
4563,9147
4587,739
4547,3657
4578,8182
4569,2808
4553,8237
4540,4802
4677,3608
4660,7638
5113,6730
5210,2478
4913,4846
4897,2113
4803,7524
4827,9724
4813,9458
4821,10144
4829,10051
4837,9484
4860,8346
4820,841
4828,8604
4836,2008
4875,6480
4883,8827
4948,4029
4986,7219
4899,8074
4939,9424
4947,3132
4963,3904
4971,3903
4901,8926
4852,4192
4979,8870
4987,196
4916,7354
4924,4290
4956,873
5185,745
4686,2455
4694,5494
4637,81
5122,1238
5098,2557
5106,7198
5124,1653
5179,6167
5107,7515
5139,9693
5102,2591
5265,5086
5273,8577
5234,5483
5242,7078
5186,5206
5194,8576
5202,2478
5218,7074
5226,7075
5134,6854
5249,8270
4580,8619
4602,745
5097,7638
4851,1727
5105,3778
4955,8539
5074,4064
5110,935
5126,9624
5103,9630
5111,7982
5114,2073
5130,8374
5169,3903
5177,10217
5090,10159
5133,438
5141,3307
5149,7097
5157,7107
5172,291
5180,437
5093,3754
5159,6895
5167,3793
5108,3568
5116,3113
5132,279
5171,8142
5092,8105
5100,1829
5152,5650
5160,2371
5168,1523
5115,2101
5135,157
4561,6211
4689,2574
5163,2109
4801,173
4625,7611
4617,4846
4702,5504
4615,9971
4669,3608
4692,1958
4613,3848
4652,7638
4668,2226
4809,9182
4636,9182
4691,8991
4620,4786
4697,8246
4642,9163
4682,7570
4698,4870
4611,519
4635,3678
4659,267
4649,3032
4802,6458
4826,9282
4866,1578
4882,3209
4890,8897
4629,8470
4643,1166
4834,6724
4918,2697
4926,778
4934,3778
4942,3776
4909,4664
4917,6930
4973,9745
4981,10132
4989,5419
4982,10014
4990,10014
5066,8065
