,well_id,structure_id,slab_num,slab_type,structure_acronym,structure_name,polygon_id,mri_voxel_x,mri_voxel_y,mri_voxel_z,mni_x,mni_y,mni_z,corrected_mni_x,corrected_mni_y,corrected_mni_z,sampleID,probe2label,probe2dist
538,126434527,4143,11,CX,MTG-i,"middle temporal gyrus, left, inferior bank of gyrus",111796073,160,127,129,-69.0,-38.0,-18.0,-67.26433561107389,-39.3731085827289,-14.947968367603801,H0351_1012,156,0.0
539,126434530,4150,12,CX,ITG-l,"inferior temporal gyrus, left, lateral bank of gyrus",112191793,155,134,139,-64.0,-48.0,-25.0,-62.6091546032433,-49.04858658303289,-21.9692066567255,H0351_1012,134,2.0
540,126434532,4194,13,CX,LiG-str,"lingual gyrus, left, striate",112196093,110,106,150,-19.0,-59.0,3.0,-16.608498956788303,-60.355484869093196,-0.91594497755251,H0351_1012,136,1.0
541,126434557,4149,10,CX,ITG-its,"inferior temporal gyrus, left, bank of the its",111794097,137,133,117,-46.0,-26.0,-24.0,-47.60182564620689,-26.8039971148869,-23.501006351030696,H0351_1012,134,0.0
542,126434559,4089,11,CX,PoG-il,"postcentral gyrus, left, inferior lateral aspect of gyrus",111795979,137,49,129,-46.0,-38.0,60.0,-40.7201434316009,-39.7411473948831,63.422093585541,H0351_1012,178,0.0
543,126434561,4151,11,CX,ITG-mts,"inferior temporal gyrus, left, bank of mts",111796072,151,133,129,-60.0,-38.0,-24.0,-58.9925542498972,-37.92810693720129,-19.3599270692902,H0351_1012,134,0.0
544,126434563,4158,12,CX,FuG-its,"fusiform gyrus, left, bank of the its",112191795,139,123,138,-48.0,-47.0,-14.0,-47.1848780787998,-47.874137660959796,-9.33317811426693,H0351_1012,134,0.0
545,126434565,4107,13,CX,SMG-i,"supramarginal gyrus, left, inferior bank of gyrus",112193966,149,68,152,-58.0,-61.0,41.0,-53.8306708807629,-57.2784120852332,43.631228729035904,H0351_1012,108,0.0
546,126434574,4158,10,CX,FuG-its,"fusiform gyrus, left, bank of the its",111794096,132,126,117,-41.0,-26.0,-17.0,-39.3070575463406,-27.789552034131397,-14.9834543682252,H0351_1012,124,2.44948983192444
547,126434577,4106,11,CX,SMG-s,"supramarginal gyrus, left, superior bank of gyrus",111795644,142,70,129,-51.0,-38.0,39.0,-46.1509240430934,-37.493581728707795,39.0223059502018,H0351_1012,196,0.0
549,126434581,4142,12,CX,MTG-s,"middle temporal gyrus, left, superior bank of gyrus",112191702,158,105,139,-67.0,-48.0,4.0,-66.11531713589379,-48.7326302501588,5.06244305046509,H0351_1012,156,0.0
550,126434583,4135,13,CX,STG-l,"superior temporal gyrus, left, lateral bank of gyrus",112193968,153,85,151,-62.0,-60.0,24.0,-58.664605926678895,-59.6831371023055,26.0888551001268,H0351_1012,108,0.0
551,126434977,4160,8,CX,FuG-cos,"fusiform gyrus, left, bank of cos",1407821,118,151,98,-27.0,-7.0,-42.0,-26.859394497161002,-8.14898970506233,-41.062779036239796,H0351_1012,124,0.0
552,126434979,4099,14,CX,SPL-i,"superior parietal lobule, left, inferior bank of gyrus",112725870,111,73,160,-20.0,-69.0,36.0,-18.3603594348303,-66.5197220049751,35.2279183665987,H0351_1012,170,2.0
554,126434983,4208,15,CX,IOG-i,"inferior occipital gyrus, left, inferior bank of gyrus",112731340,141,99,174,-50.0,-83.0,10.0,-45.1984254352596,-86.10262292687099,13.4608015667257,H0351_1012,130,0.0
555,126434985,4187,17,CX,Cun-str,"cuneus, left, striate",112784589,98,107,190,-7.0,-99.0,2.0,-7.97275941337438,-98.600877607449,4.33936053686028,H0351_1012,110,0.0
556,126434993,4087,9,CX,PoG-cs,"postcentral gyrus, left, bank of the central sulcus",1408334,140,57,109,-49.0,-18.0,52.0,-45.73084123237229,-18.3927388143537,54.4109505273071,H0351_1012,178,1.4142135381698602
557,126434995,4113,14,CX,AnG-s,"angular gyrus, left, superior bank of gyrus",112723775,108,63,159,-17.0,-68.0,46.0,-15.434615783126599,-67.3791246997194,47.0336992533859,H0351_1012,200,1.0
559,126434999,4186,16,CX,Cun-pest,"cuneus, left, peristriate",112783366,95,102,184,-4.0,-93.0,7.0,-5.15794382628457,-90.66383372213319,7.16688237284853,H0351_1012,110,0.0
560,126435001,4193,17,CX,LiG-pest,"lingual gyrus, left, peristriate",112784587,97,126,190,-6.0,-99.0,-17.0,-5.51515723172537,-98.545072454533,-13.9883463537327,H0351_1012,136,1.4142135381698602
561,126435009,4120,13,CX,Pcu-s,"precuneus, left, superior lateral bank of gyrus",112193675,100,61,149,-9.0,-58.0,48.0,-7.61279651913388,-57.517825591626206,47.4321097622626,H0351_1012,170,0.0
562,126435011,4120,14,CX,Pcu-s,"precuneus, left, superior lateral bank of gyrus",112725872,94,51,159,-3.0,-68.0,58.0,-1.9784246243260901,-67.8915261646008,58.381271588889106,H0351_1012,170,1.0
563,126435013,4121,15,CX,Pcu-i,"precuneus, left, inferior lateral bank of gyrus",112731858,94,61,171,-3.0,-80.0,48.0,-1.9739686928129199,-77.9539489887113,47.5952040428133,H0351_1012,170,1.4142135381698602
564,126435015,4187,16,CX,Cun-str,"cuneus, left, striate",112783367,93,105,183,-2.0,-92.0,4.0,-1.1461303128078602,-88.2960493252985,3.29336606760158,H0351_1012,116,0.0
565,126435017,4194,17,CX,LiG-str,"lingual gyrus, left, striate",112784588,98,111,190,-7.0,-99.0,-2.0,-8.10311945256307,-98.8311374964604,2.4219762127326803,H0351_1012,110,0.0
566,126435025,4098,12,CX,SPL-s,"superior parietal lobule, left, superior bank of gyrus",112191396,112,35,138,-21.0,-47.0,74.0,-20.609289124355602,-50.7318009350004,70.8745933095887,H0351_1012,200,1.0
567,126435027,4114,14,CX,AnG-i,"angular gyrus, left, inferior bank of gyrus",112708384,132,57,161,-41.0,-70.0,52.0,-40.41167767593421,-69.0374329826485,50.7573370135091,H0351_1012,108,0.0
568,126435029,4098,15,CX,SPL-s,"superior parietal lobule, left, superior bank of gyrus",112730933,108,58,172,-17.0,-81.0,51.0,-16.3271214376461,-80.05468739708671,49.4330840552979,H0351_1012,200,0.0
569,126435031,4207,16,CX,IOG-s,"inferior occipital gyrus, left, superior bank of gyrus",112782888,113,96,182,-22.0,-91.0,13.0,-17.0861254472628,-90.2157380979173,13.7670178863623,H0351_1012,198,2.2360680103302
571,126435041,4120,12,CX,Pcu-s,"precuneus, left, superior lateral bank of gyrus",112191395,104,48,138,-13.0,-47.0,61.0,-12.827195847910302,-48.9558028098336,59.4903538097468,H0351_1012,170,0.0
572,126435043,4121,14,CX,Pcu-i,"precuneus, left, inferior lateral bank of gyrus",112718483,113,93,158,-22.0,-67.0,16.0,-18.6128925399553,-68.0126594887107,13.2751514720524,H0351_1012,116,2.2360680103302
575,126435049,4208,17,CX,IOG-i,"inferior occipital gyrus, left, inferior bank of gyrus",112784548,119,116,190,-28.0,-99.0,-7.0,-24.837395745661503,-98.7956654946315,-3.94129260628271,H0351_1012,158,2.0
576,126435057,4121,12,CX,Pcu-i,"precuneus, left, inferior lateral bank of gyrus",112191355,99,64,138,-8.0,-47.0,45.0,-6.41863806078011,-46.649228225318005,44.8975926702273,H0351_1012,170,0.0
577,126435059,4193,14,CX,LiG-pest,"lingual gyrus, left, peristriate",112718482,108,111,158,-17.0,-67.0,-2.0,-14.8936132226439,-68.0306472292419,-6.22299152583079,H0351_1012,136,1.0
578,126435061,4113,15,CX,AnG-s,"angular gyrus, left, superior bank of gyrus",112730935,110,60,172,-19.0,-81.0,49.0,-18.8626814175123,-79.9231758120798,47.26561567413421,H0351_1012,170,0.0
579,126435063,4214,16,CX,SOG-s,"superior occipital gyrus, left, superior bank of gyrus",112782883,112,79,182,-21.0,-91.0,30.0,-18.7599656344583,-88.72528362234439,31.050533053825603,H0351_1012,198,0.0
580,126435065,4215,17,CX,SOG-i,"superior occipital gyrus, left, inferior bank of gyrus",112784546,112,103,190,-21.0,-99.0,6.0,-18.4931707035365,-100.13677962504299,7.341426011813411,H0351_1012,130,2.0
581,126435073,4237,12,CX,CgGr-s,"cingulate gyrus, retrosplenial part, left, superior bank of gyrus",112191356,93,76,138,-2.0,-47.0,33.0,-1.4938650233051598,-46.466989462362,35.899614076418295,H0351_1012,168,1.0
