"well_id","structure_id","slab_num","slab_type","structure_acronym","structure_name","polygon_id","mri_voxel_x","mri_voxel_y","mri_voxel_z","mni_x","mni_y","mni_z","corrected_mni_x","corrected_mni_y","corrected_mni_z","sampleID","probe2label","probe2dist"
250,4102,28,"CX","SPL-i","superior parietal lobule, right, inferior bank of gyrus",27330,64,75,149,29.1,-68.2,32.1,30.6920282293074,-70.2834956892693,24.3232204216926,"H0351_2001",197,0
251,4196,28,"CX","LiG-pest","lingual gyrus, right, peristriate",27596,73,119,155,19.1,-87.1,-14,21.401040569347,-86.2803540182617,-17.6357579776413,"H0351_2001",161,1
257,4901,6,"CX","IRoG","inferior rostral gyrus, left",27841,98,95,33,-3.8,46.8,-12.7,-2.39328765505951,47.8590129841591,-19.837483483394,"H0351_2001",126,0
258,4117,28,"CX","AnG-i","angular gyrus, right, inferior bank of gyrus",27331,56,89,155,37.3,-78.2,18.4,41.2260297561506,-78.7898174543252,13.4061556336946,"H0351_2001",145,0
259,4193,28,"CX","LiG-pest","lingual gyrus, left, peristriate",27602,103,120,150,-12.4,-82.9,-16.6,-12.6661909638279,-84.772454453847,-20.7861965176987,"H0351_2001",40,0
265,4048,6,"CX","GRe","gyrus rectus, left",27840,101,102,33,-7,44.8,-20.2,-5.05440923670392,46.6879366294905,-26.7583497219892,"H0351_2001",126,1
266,4217,28,"CX","SOG-s","superior occipital gyrus, right, superior bank of gyrus",27332,50,94,155,43.6,-79.5,13.2,45.2331647734057,-80.6626677044391,8.21195800640587,"H0351_2001",145,0
267,4201,28,"CX","OTG-i","occipito-temporal gyrus, left, inferior bank of gyrus",27601,110,122,152,-19.9,-85.7,-18.5,-19.4847859083257,-86.6124850837153,-21.3055230076643,"H0351_2001",40,0
273,4049,6,"CX","GRe","gyrus rectus, right",27842,86,105,37,8.7,40.1,-22.3,6.52385105686039,41.1893468111571,-26.3871402048776,"H0351_2001",147,1
274,4124,28,"CX","Pcu-i","precuneus, right, inferior lateral bank of gyrus",27341,85,82,146,7,-67.6,23.6,7.97591144282655,-67.270874123543,18.2515810382464,"H0351_2001",115,2
275,4200,28,"CX","OTG-s","occipito-temporal gyrus, left, superior bank of gyrus",27600,126,114,154,-36.8,-86,-9.9,-37.1663638586582,-87.4158562438348,-9.06597880959526,"H0351_2001",130,1.41421353816986
281,4060,6,"CX","LOrG","lateral orbital gyrus, left",27854,125,90,36,-32.4,44.4,-7.3,-30.6282008527022,45.839358483653,-13.7471081312281,"H0351_2001",106,0
282,4121,28,"CX","Pcu-i","precuneus, left, inferior lateral bank of gyrus",27342,97,81,143,-5.6,-64.4,23.8,-4.88069765745897,-64.4246037662953,18.990076296989,"H0351_2001",170,0
289,4027,4,"CX","SFG-l","superior frontal gyrus, right, lateral bank of gyrus",27250,67,74,27,29.2,59.8,9.3,27.4397545771159,62.5044784320534,2.55788086399777,"H0351_2001",191,0
290,4155,26,"CX","ITG-mts","inferior temporal gyrus, right, bank of mts",27984,60,107,146,33.2,-74,-2.6,36.6006650015585,-73.8370996569126,-6.13823663812336,"H0351_2001",129,2
291,4040,8,"CX","trIFG","inferior frontal gyrus, triangular part, right",28103,45,94,48,51.8,32.7,-7.6,50.546807682975,33.900974552631,-13.6363786010577,"H0351_2001",165,1
297,4033,4,"CX","MFG-s","middle frontal gyrus, right, superior bank of gyrus",27251,67,81,28,29.2,56.8,2,28.9910050306538,60.2052675570484,-5.88453835116572,"H0351_2001",105,1
298,4197,26,"CX","LiG-str","lingual gyrus, right, striate",36906,84,92,139,8.2,-63,11.5,10.4608792587577,-64.3584251482054,5.61295181143813,"H0351_2001",109,0
299,4907,8,"CX","TP-i","temporal pole, right, inferior aspect",27959,55,114,47,41.1,27.9,-29.4,41.4698436712827,27.5002799685925,-31.039777209001,"H0351_2001",203,2.2360680103302
305,4186,28,"CX","Cun-pest","cuneus, left, peristriate",27487,93,86,146,-1.5,-68.9,19.1,-0.603360254111246,-69.8184756703815,13.8794907393955,"H0351_2001",116,0
306,4194,26,"CX","LiG-str","lingual gyrus, left, striate",36908,97,94,138,-5.6,-62.9,8.9,-7.36902945812711,-64.4280688876832,3.90482972406388,"H0351_2001",136,0
